run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-4e9be5773d88a29c,SC-D-08,full,2,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,2,8536.826,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-e64dd34bde5d922f,SC-D-09,full,0,preference_change,hard,high,medium,no_match,True,0,,,,,,,,,1.0,3,1.0,1.0,2,8260.333,0,0.25,False,True,False,,False,,False,False,,2,no_match,,False,False,False,False,-2.0
run-562364c7cc0f8221,SC-D-09,full,1,preference_change,hard,high,medium,recommendation,True,5,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,24,1.0,1.0,2,8726.869,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-384f3e2c3c9fed7e,SC-D-09,full,2,preference_change,hard,high,medium,no_match,True,0,,,,,,,,,1.0,3,1.0,1.0,2,7401.812,0,0.25,False,True,False,,False,,False,False,,2,no_match,,False,False,False,False,-2.0
run-fa5b0e57c79cd9de,SC-D-10,full,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,1.0,2,6829.673,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-6bbe7e02aede4db3,SC-D-10,full,1,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,1.0,2,6697.52,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-e6bbd53ed9830885,SC-D-10,full,2,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,1.0,2,8248.688,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-78a6e5d57c12187f,SC-D-11,full,0,preference_change,medium,high,medium,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,27,1.0,1.0,3,7098.775,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-f71b05551c8c4e33,SC-D-11,full,1,preference_change,medium,high,medium,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,27,1.0,1.0,3,7156.841,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-2f7b8b5e01446592,SC-D-11,full,2,preference_change,medium,high,medium,recommendation,True,5,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,1.0,27,1.0,1.0,3,7067.384,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-a091e1b16f8e5f86,SC-D-12,full,0,preference_change,hard,high,high,recommendation,True,5,0.90976723004651,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,3,7282.092,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-7ddd212d5bc2b0f5,SC-D-12,full,1,preference_change,hard,high,high,recommendation,True,5,0.90976723004651,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,3,7334.756,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-e6832504c7a2af80,SC-D-12,full,2,preference_change,hard,high,high,recommendation,True,2,0.5979795890554701,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13,1.0,1.0,3,7255.481,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-151dd613db4c0b75,SC-E-01,full,0,multiple_hard,hard,none,high,recommendation,True,2,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13,1.0,1.0,1,8439.312,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-0d4e9a6840f88259,SC-E-01,full,1,multiple_hard,hard,none,high,recommendation,True,2,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13,1.0,1.0,1,9134.012,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-536e34dc5474c42c,SC-E-01,full,2,multiple_hard,hard,none,high,recommendation,True,2,0.9580414003446834,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,13,1.0,1.0,1,9263.743,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
