run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,evidence_resolution_rate,abstention_rate,unsupported_delivered_count,semantic_validator_present,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-25b1a4c18ff8cdfe,SC-D-09,no_context,0,preference_change,hard,high,medium,recommendation,True,5,0.5147714448836774,0.6,1.8,0.6,0.4,0.1,0.2,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,2,27.17,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-a5eaf6305b9044fe,SC-D-10,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.529634717214042,0.6,1.8,0.6,0.6,0.1,0.4,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,2,25.525,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-654c7c2b618f3aed,SC-D-11,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.4703652827859579,0.4,1.2,0.4,0.6,0.1,0.0,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,3,21.329,0,0.75,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-5e0f13ec0da33c69,SC-D-12,no_context,0,preference_change,hard,high,high,recommendation,True,5,0.4554594382818066,0.2,0.6,0.2,0.8,0.0,0.0,1.0,1.0,28,1.0,0.0,0,True,1.0,1.0,3,21.935,0,0.75,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-b1d9241e2abafa16,SC-E-01,no_context,0,multiple_hard,hard,none,high,recommendation,True,5,1.0,0.2,0.6,0.2,1.0,0.1,0.0,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,1,21.467,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-57707206b4378d12,SC-E-02,no_context,0,multiple_hard,hard,none,high,recommendation,True,5,0.0,0.0,0.0,0.0,1.2,0.0,0.2,1.0,1.0,25,1.0,0.0,0,True,1.0,1.0,1,24.903,0,0.5,True,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-5544965755d02fca,SC-E-03,no_context,0,multiple_hard,hard,none,high,recommendation,True,5,0.651615141503056,0.4,1.2,0.4,1.0,0.15,0.2,1.0,1.0,27,1.0,0.0,0,True,1.0,1.0,1,26.335,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-b2960756b22de028,SC-E-04,no_context,0,multiple_hard,hard,none,high,recommendation,True,5,,,,0.0,1.8,0.15,0.2,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,24.776,0,0.5,True,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-5dff6533050fc9bf,SC-E-05,no_context,0,multiple_hard,hard,none,high,recommendation,True,5,0.0,0.0,0.0,0.0,2.2,0.2,0.4,1.0,1.0,26,1.0,0.0,0,True,1.0,1.0,1,24.716,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-89dda70ea9ef85f4,SC-F-01,no_context,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,25.975,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-2f4597ed820c1503,SC-F-02,no_context,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,24.565,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-c046dfb52bd9e84d,SC-F-03,no_context,0,soft_tradeoff,easy,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,22,1.0,0.0,0,True,1.0,1.0,1,23.759,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-affd2b9b1ab246dd,SC-F-04,no_context,0,soft_tradeoff,medium,none,low,recommendation,True,5,0.6608397947263838,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,20,1.0,0.0,0,True,1.0,1.0,1,26.27,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-8b25b1d989f4d599,SC-G-01,no_context,0,ambiguous_role,hard,none,low,recommendation,True,5,0.6399453854227659,0.6,1.8,0.6,0.4,0.0,0.2,1.0,1.0,25,1.0,0.0,0,True,1.0,1.0,2,24.921,0,0.75,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-1a5f2b96746a5fa3,SC-G-02,no_context,0,ambiguous_role,hard,none,low,recommendation,True,5,0.6843515475204854,0.6,1.8,0.6,0.4,0.0,0.4,1.0,1.0,19,1.0,0.0,0,True,1.0,1.0,2,31.954,0,0.75,False,False,True,,True,target_roles,True,False,,2,recommendation,target_roles,False,False,False,False,-2.0
run-539160a33de1339f,SC-H-01,no_context,0,no_match,hard,none,high,recommendation,True,5,,,,0.0,1.4,0.13333333333333333,0.2,1.0,1.0,21,1.0,0.0,0,True,1.0,1.0,1,20.519,0,0.5,True,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-2a6bdf80f5ea7b6d,SC-H-02,no_context,0,no_match,hard,none,high,recommendation,True,5,,,,0.0,1.6,0.2,0.4,1.0,1.0,22,1.0,0.0,0,True,1.0,1.0,1,22.924,0,0.5,True,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
