scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-C-01,no_context,profile_dialogue_conflict,medium,medium,high,0.5309719078307141,0.4,1.0,0.4,0.6,0.0,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,44.008,0.0,0.75,28.0,-1.0
SC-C-01,no_memory,profile_dialogue_conflict,medium,medium,high,0.936475914927914,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.364,1.0,1.0,27.0,-1.0
SC-C-01,one_shot,profile_dialogue_conflict,medium,medium,high,0.936475914927914,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,13.019,1.0,1.0,27.0,-1.0
SC-C-01,profile_only,profile_dialogue_conflict,medium,medium,high,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.02,0.0,0.75,24.0,-1.0
SC-C-02,full,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20.261,1.0,1.0,28.0,-1.0
SC-C-02,no_context,profile_dialogue_conflict,medium,medium,medium,0.5087403079104242,0.4,0.8,0.4,0.6,0.1,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,25.113,0.0,0.75,29.0,-1.0
SC-C-02,no_memory,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.278,1.0,1.0,28.0,-1.0
SC-C-02,one_shot,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17.907,1.0,1.0,28.0,-1.0
SC-C-02,profile_only,profile_dialogue_conflict,medium,medium,medium,0.14606834984270647,0.2,0.4,0.2,0.8,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,32.808,0.0,0.75,28.0,-1.0
SC-C-03,full,profile_dialogue_conflict,hard,medium,high,1.0,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.762,1.0,1.0,26.0,-1.0
SC-C-03,no_context,profile_dialogue_conflict,hard,medium,high,0.2873629111569347,0.2,0.6,0.2,0.8,0.0,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19.625,0.0,0.75,26.0,-1.0
SC-C-03,no_memory,profile_dialogue_conflict,hard,medium,high,1.0,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.532,1.0,1.0,26.0,-1.0
SC-C-03,one_shot,profile_dialogue_conflict,hard,medium,high,1.0,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.776,1.0,1.0,26.0,-1.0
SC-C-03,profile_only,profile_dialogue_conflict,hard,medium,high,0.0,0.0,0.0,0.0,1.4,0.06666666666666667,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22.185,0.0,0.75,22.0,-1.0
SC-C-04,full,profile_dialogue_conflict,medium,medium,high,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,11.23,1.0,1.0,17.0,-1.0
SC-C-04,no_context,profile_dialogue_conflict,medium,medium,high,0.6572885561341879,0.4,1.2,0.4,0.8,0.13333333333333333,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22.385,0.0,0.75,25.0,-1.0
SC-C-04,no_memory,profile_dialogue_conflict,medium,medium,high,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.186,1.0,1.0,17.0,-1.0
SC-C-04,one_shot,profile_dialogue_conflict,medium,medium,high,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,9.912,1.0,1.0,17.0,-1.0
SC-C-04,profile_only,profile_dialogue_conflict,medium,medium,high,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,18.864,0.0,0.75,25.0,-1.0
SC-C-05,full,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,19.691,1.0,1.0,23.0,-1.0
