experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,legacy_rule_reparse_turns,candidate_state_version,termination_reason,total_latency_ms,run_dir
profile_only,SC-F-01,0,run-9b89791550e9ef70,True,recommendation,False,5,43,18,0,1,1,0,1,recommendation,17.593,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-01\0
profile_only,SC-F-02,0,run-4606fbd807ba4650,True,recommendation,False,5,44,18,0,1,1,0,1,recommendation,19.786,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-02\0
profile_only,SC-F-03,0,run-f6dab0a15f9b5781,True,recommendation,False,5,43,18,0,1,1,0,1,recommendation,16.057,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-03\0
profile_only,SC-F-04,0,run-16c8c4cbda3a67ff,True,recommendation,False,5,44,18,0,1,1,0,1,recommendation,20.598,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-F-04\0
profile_only,SC-G-01,0,run-8523f633636f6d18,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.783,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-G-01\0
profile_only,SC-G-02,0,run-30305b6133f1f798,True,clarification,,0,0,0,0,2,1,0,1,repeated_slot,0.728,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-G-02\0
profile_only,SC-H-01,0,run-4d6657cbd89092bb,True,recommendation,False,5,43,19,0,1,1,0,1,recommendation,20.406,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-H-01\0
profile_only,SC-H-02,0,run-be1afd4e17c162e6,True,recommendation,False,5,44,22,0,1,1,0,1,recommendation,18.807,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-H-02\0
profile_only,SC-H-03,0,run-a7583e178eec4bac,True,recommendation,False,5,45,13,0,1,1,0,1,recommendation,21.067,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-H-03\0
profile_only,SC-D-06,0,run-7723fb187967087a,True,clarification,,0,0,0,0,2,1,0,1,,1.013,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-06\0
profile_only,SC-D-07,0,run-5716b9905a089c47,True,clarification,,0,0,0,0,2,1,0,1,,0.857,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-07\0
profile_only,SC-D-08,0,run-104ac48542eed6a0,True,clarification,,0,0,0,0,2,1,0,1,,0.864,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-08\0
profile_only,SC-D-09,0,run-7681dc79a57abdbe,True,clarification,,0,0,0,0,2,1,0,1,,0.889,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-09\0
profile_only,SC-D-10,0,run-46ba30478584bb5d,True,clarification,,0,0,0,0,2,1,0,1,,0.823,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-10\0
profile_only,SC-D-11,0,run-d9dcabbe620c4ee5,True,clarification,,0,0,0,0,3,1,0,1,,0.758,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-11\0
profile_only,SC-D-12,0,run-445fce8134571f1a,True,clarification,,0,0,0,0,3,1,0,1,,0.765,artifacts\main_deterministic\runs\exp-40a9cd647575\profile_only\SC-D-12\0
one_shot,SC-A-01,0,run-930b76d107e5cff8,True,recommendation,False,5,28,28,0,1,1,0,1,recommendation,17.897,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-A-01\0
one_shot,SC-A-02,0,run-4337e1188bc3cbdd,True,recommendation,False,5,25,23,0,1,1,0,1,recommendation,17.523,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-A-02\0
one_shot,SC-A-03,0,run-94f7d1e13d63a2ae,True,recommendation,False,5,28,28,0,1,1,0,1,recommendation,16.739,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-A-03\0
one_shot,SC-A-04,0,run-0bdbd7e3ae24c145,True,recommendation,False,5,24,24,0,1,1,0,1,recommendation,53.015,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-A-04\0
one_shot,SC-A-05,0,run-243c9483fa7e0adf,True,recommendation,False,5,27,23,0,1,1,0,1,recommendation,18.87,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-A-05\0
one_shot,SC-A-06,0,run-d833fa81f508835a,True,recommendation,False,5,28,27,0,1,1,0,1,recommendation,16.41,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-A-06\0
one_shot,SC-B-01,0,run-44bfa39db964e460,True,clarification,,0,0,0,0,1,1,0,1,continuation_disabled,1.167,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-B-01\0
one_shot,SC-B-02,0,run-4df0a6997a2e3e8b,True,clarification,,0,0,0,0,1,1,0,1,continuation_disabled,1.411,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-B-02\0
one_shot,SC-B-03,0,run-690629ed05415f31,True,clarification,,0,0,0,0,1,1,0,1,continuation_disabled,0.988,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-B-03\0
one_shot,SC-B-04,0,run-7418a9982335f269,True,clarification,,0,0,0,0,1,1,0,1,continuation_disabled,1.371,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-B-04\0
one_shot,SC-B-05,0,run-96f5332b939dea54,True,clarification,,0,0,0,0,1,1,0,1,continuation_disabled,1.037,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-B-05\0
one_shot,SC-C-01,0,run-a54490d340d095c6,True,recommendation,False,5,8,27,0,1,1,0,1,recommendation,13.019,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-C-01\0
one_shot,SC-C-02,0,run-b45d4176e65e5906,True,recommendation,False,5,25,28,0,1,1,0,1,recommendation,17.907,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-C-02\0
one_shot,SC-C-03,0,run-5e2cbaadd2aed0b1,True,recommendation,False,5,8,26,0,1,1,0,1,recommendation,11.776,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-C-03\0
one_shot,SC-C-04,0,run-90dcc86b93a5ce44,True,recommendation,False,3,3,17,0,1,1,0,1,recommendation,9.912,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-C-04\0
one_shot,SC-C-05,0,run-1e668964b4c24319,True,recommendation,False,5,24,23,0,1,1,0,1,recommendation,21.476,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-C-05\0
one_shot,SC-D-01,0,run-8a5fcd5e8ccf1d3d,True,clarification,,0,0,0,0,2,1,0,1,continuation_disabled,0.958,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-01\0
one_shot,SC-D-02,0,run-10552c1cef134ebe,True,recommendation,False,5,25,26,0,2,1,0,1,recommendation,40.85,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-02\0
one_shot,SC-D-03,0,run-c6c4e2e7bfa89ee6,True,recommendation,False,5,43,21,0,2,1,0,1,recommendation,17.653,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-03\0
one_shot,SC-D-04,0,run-3dcb25053d94d332,True,recommendation,False,5,19,27,0,2,1,0,1,recommendation,16.384,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-04\0
one_shot,SC-D-05,0,run-48da2ee2c4a4b11c,True,clarification,,0,0,0,0,2,1,0,1,continuation_disabled,1.571,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-D-05\0
one_shot,SC-E-01,0,run-676f804262ab62f9,True,recommendation,False,1,1,8,0,1,1,0,1,recommendation,7.97,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-E-01\0
one_shot,SC-E-02,0,run-8eacfbda7a4da0c6,True,no_match,True,0,0,6,0,1,1,0,1,no_match,10.587,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-E-02\0
one_shot,SC-E-03,0,run-a29dca6067031521,True,recommendation,False,2,2,13,0,1,1,0,1,recommendation,8.641,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-E-03\0
one_shot,SC-E-04,0,run-3ee72ebf1fb7c6ba,True,no_match,True,0,0,6,0,1,1,0,1,no_match,11.353,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-E-04\0
one_shot,SC-E-05,0,run-83fe42b97c452ac0,True,recommendation,False,1,1,7,0,1,1,0,1,recommendation,11.099,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-E-05\0
one_shot,SC-F-01,0,run-9743848c2e583907,True,recommendation,False,5,43,23,0,1,1,0,1,recommendation,19.245,artifacts\main_deterministic\runs\exp-40a9cd647575\one_shot\SC-F-01\0
