scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-B-05,profile_only,clarification,medium,none,low,,,,,,,,,,1.0,1.0,2.0,2.0,0.637,0.0,0.5,0.0,-1002.0
SC-C-01,full,profile_dialogue_conflict,medium,medium,high,0.8050102282292517,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,15.931,1.0,1.0,28.0,-1.0
SC-C-01,no_context,profile_dialogue_conflict,medium,medium,high,0.5853451641247318,0.6,1.6,0.6,0.4,0.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,19.413,0.0,0.75,28.0,-1.0
SC-C-01,no_memory,profile_dialogue_conflict,medium,medium,high,0.8050102282292517,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,11.076,1.0,1.0,28.0,-1.0
SC-C-01,one_shot,profile_dialogue_conflict,medium,medium,high,0.8050102282292517,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.9,1.0,1.0,28.0,-1.0
SC-C-01,profile_only,profile_dialogue_conflict,medium,medium,high,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.465,0.0,0.75,24.0,-1.0
SC-C-02,full,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.333,1.0,1.0,29.0,-1.0
SC-C-02,no_context,profile_dialogue_conflict,medium,medium,medium,0.8687949224876583,0.8,1.6,0.8,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,21.252,0.0,0.75,29.0,-1.0
SC-C-02,no_memory,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18.69,1.0,1.0,29.0,-1.0
SC-C-02,one_shot,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,17.237,1.0,1.0,29.0,-1.0
