scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,grounded_claim_count
SC-C-01,full,profile_dialogue_conflict,medium,medium,high,0.8050102282292517,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.019333333333334,1.0,1.0,28.0
SC-C-01,no_context,profile_dialogue_conflict,medium,medium,high,0.5853451641247318,0.6,1.6000000000000003,0.6,0.4000000000000001,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,22.604333333333333,0.0,0.75,28.0
SC-C-01,no_memory,profile_dialogue_conflict,medium,medium,high,0.8050102282292517,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.232,1.0,1.0,28.0
SC-C-01,one_shot,profile_dialogue_conflict,medium,medium,high,0.8050102282292517,1.0,2.4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,12.305333333333332,1.0,1.0,28.0
SC-C-01,profile_only,profile_dialogue_conflict,medium,medium,high,0.0,0.0,0.0,0.0,1.2,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.132666666666665,0.0,0.75,24.0
SC-C-02,full,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.243333333333336,1.0,1.0,29.0
SC-C-02,no_context,profile_dialogue_conflict,medium,medium,medium,0.8687949224876581,0.8000000000000002,1.6000000000000003,0.8000000000000002,0.20000000000000004,0.10000000000000002,0.0,1.0,1.0,1.0,1.0,1.0,25.137,0.0,0.75,29.0
SC-C-02,no_memory,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.008666666666667,1.0,1.0,29.0
SC-C-02,one_shot,profile_dialogue_conflict,medium,medium,medium,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,20.250333333333334,1.0,1.0,29.0
SC-C-02,profile_only,profile_dialogue_conflict,medium,medium,medium,0.7860137352654725,0.8000000000000002,1.6000000000000003,0.8000000000000002,0.20000000000000004,0.0,0.0,1.0,1.0,1.0,1.0,1.0,22.83366666666667,0.0,0.75,28.0
SC-C-03,full,profile_dialogue_conflict,hard,medium,high,0.90976723004651,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.351333333333335,1.0,1.0,26.0
SC-C-03,no_context,profile_dialogue_conflict,hard,medium,high,0.5979795890554701,0.4000000000000001,1.2,0.4000000000000001,0.6,0.0,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,21.705333333333332,0.0,0.75,26.0
SC-C-03,no_memory,profile_dialogue_conflict,hard,medium,high,0.90976723004651,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,14.036,1.0,1.0,26.0
SC-C-03,one_shot,profile_dialogue_conflict,hard,medium,high,0.90976723004651,1.0,2.6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,11.452333333333334,1.0,1.0,26.0
SC-C-03,profile_only,profile_dialogue_conflict,hard,medium,high,0.0,0.0,0.0,0.0,1.3999999999999997,0.06666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,40.11366666666667,0.0,0.75,22.0
SC-C-04,full,profile_dialogue_conflict,medium,medium,high,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.138666666666667,1.0,1.0,17.0
SC-C-04,no_context,profile_dialogue_conflict,medium,medium,high,0.6572885561341879,0.4000000000000001,1.2,0.4000000000000001,0.8000000000000002,0.13333333333333333,0.20000000000000004,1.0,1.0,1.0,1.0,1.0,22.87433333333333,0.0,0.75,25.0
SC-C-04,no_memory,profile_dialogue_conflict,medium,medium,high,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,10.844333333333333,1.0,1.0,17.0
SC-C-04,one_shot,profile_dialogue_conflict,medium,medium,high,0.8587958726494572,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,9.372,1.0,1.0,17.0
SC-C-04,profile_only,profile_dialogue_conflict,medium,medium,high,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,19.981666666666666,0.0,0.75,25.0
SC-C-05,full,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,40.324999999999996,1.0,1.0,23.0
SC-C-05,no_context,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,27.344666666666665,1.0,1.0,23.0
SC-C-05,no_memory,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.201333333333334,1.0,1.0,23.0
SC-C-05,one_shot,profile_dialogue_conflict,medium,low,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,21.151666666666667,1.0,1.0,23.0
