run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-79b2491b3e892afd,SC-D-01,no_context,0,preference_change,medium,high,high,recommendation,True,5,0.830419897363192,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,26,1.0,1.0,2,20.141,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-d42492773d401712,SC-D-02,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.5531464700081438,0.4,0.8,0.4,0.6,0.2,0.0,1.0,1.0,28,1.0,1.0,2,24.661,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-7717b0e7a0f6add6,SC-D-03,no_context,0,preference_change,hard,high,high,recommendation,True,5,0.7227265726449517,0.6,1.8,0.6,0.6,0.1,0.4,1.0,1.0,25,1.0,1.0,2,25.152,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-7edf5905bcc95b34,SC-D-04,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.6608397947263838,0.8,2.4,0.8,0.4,0.1,0.2,1.0,1.0,28,1.0,1.0,2,28.786,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-ce4f74005cdaa06c,SC-D-05,no_context,0,preference_change,medium,high,high,recommendation,True,5,0.8539316501572934,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,21,1.0,1.0,2,26.594,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-189c33bd6a90497f,SC-D-06,no_context,0,preference_change,medium,high,medium,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,28,1.0,1.0,2,28.69,1,1.0,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-094fee018cd3caf5,SC-D-07,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.7860137352654724,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,21,1.0,1.0,2,22.391,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-ba678fca28bb582b,SC-D-08,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.8687949224876581,0.8,2.4,0.8,0.2,0.0,0.2,1.0,1.0,28,1.0,1.0,2,20.547,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-38376aec763fabcd,SC-D-09,no_context,0,preference_change,hard,high,medium,recommendation,True,5,0.5147714448836774,0.6,1.8,0.6,0.4,0.1,0.2,1.0,1.0,23,1.0,1.0,2,26.033,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-5a6b269a5aebc959,SC-D-10,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.529634717214042,0.6,1.8,0.6,0.6,0.1,0.4,1.0,1.0,23,1.0,1.0,2,30.178,0,0.75,False,False,False,,False,,False,False,,2,recommendation,,False,False,False,False,-2.0
run-424cf1588e6c3404,SC-D-11,no_context,0,preference_change,medium,high,medium,recommendation,True,5,0.830419897363192,0.8,2.4,0.8,0.2,0.1,0.0,1.0,1.0,26,1.0,1.0,3,23.327,0,0.75,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-77a32f9670e46875,SC-D-12,no_context,0,preference_change,hard,high,high,recommendation,True,5,0.7398189798621513,0.6,1.8,0.6,0.4,0.0,0.0,1.0,1.0,28,1.0,1.0,3,24.266,0,0.75,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-008ff1e10c3c215a,SC-E-01,no_context,0,multiple_hard,hard,none,high,recommendation,True,5,0.8404085891102678,0.4,1.2,0.4,0.6,0.1,0.0,1.0,1.0,26,1.0,1.0,1,23.841,0,0.75,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-94ad33fc119354ac,SC-E-02,no_context,0,multiple_hard,hard,none,high,recommendation,True,5,0.0,0.0,0.0,0.0,1.2,0.0,0.2,1.0,1.0,25,1.0,1.0,1,24.516,0,0.5,True,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
