run_id,scenario_id,variant,claim_id,claim_type,support_status,supported_binary,evidence_count
run-fce8201d9237acac,SC-A-06,profile_only,claim-a7909ca98597ee36,skill_gap,supported,1,1
run-fce8201d9237acac,SC-A-06,profile_only,claim-b7ff2fb4dcd929f3,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-6835dd660940a973,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-bee3b25a4888ad75,ranking_reason,supported,1,3
run-fce8201d9237acac,SC-A-06,profile_only,claim-15ec35b6385e963c,skill_gap,supported,1,1
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-db58e68a276f73f2,candidate_preference,supported,1,1
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-90c0a7e7cb048695,candidate_preference,supported,1,1
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-9f8d9232572742d7,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-6dc7893b25ac7ec3,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-0bac7e0b982e6eec,ranking_reason,supported,1,2
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-9515f274401a51ce,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-85ca4aff0fb5ddf5,skill_gap,supported,1,1
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-00f3e2800d2e6a11,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-b576bdaa57856f92,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-c58bb2d8f4035612,ranking_reason,supported,1,2
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-637e6173022e54dd,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-147656ceb777bb2f,skill_gap,supported,1,1
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-24b72d22077bd973,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-b821f04fe480c71f,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-5477197e1d63902c,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-b60b2180bb7a4f54,skill_gap,supported,1,1
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-1a2b604110debe4a,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-6687c00b39adbe2c,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-5ccba8b1d9927834,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-8acf10c57572b512,skill_gap,supported,1,1
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-89ca04d25f0f019e,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-3ae82f5b59a482b8,ranking_reason,supported,1,3
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-7fe31ebb30384314,ranking_reason,supported,1,2
run-4f0d3048cd89efa1,SC-C-01,profile_only,claim-ad49c80b5de89f63,skill_gap,supported,1,1
run-7a637439745919f6,SC-C-02,profile_only,claim-fcce8c2df25b909b,candidate_preference,supported,1,1
run-7a637439745919f6,SC-C-02,profile_only,claim-f823f2e2786f5df2,candidate_preference,supported,1,1
run-7a637439745919f6,SC-C-02,profile_only,claim-6835dd660940a973,ranking_reason,supported,1,3
run-7a637439745919f6,SC-C-02,profile_only,claim-7803ebeefceccf40,ranking_reason,supported,1,3
run-7a637439745919f6,SC-C-02,profile_only,claim-bee3b25a4888ad75,ranking_reason,supported,1,3
