experiment_variant,scenario_id,run_index,run_id,success,response_type,no_match,returned,eligible,claims,dropped_claims,response_turns,session_count,candidate_state_version,termination_reason,total_latency_ms,run_dir
one_shot,SC-H-03,0,run-baf7cb1d08426e8c,True,no_match,True,0,0,3,0,1,1,1,no_match,11.15,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-H-03\0
one_shot,SC-D-06,0,run-f253fe39aefde99b,True,clarification,,0,0,0,0,2,1,1,continuation_disabled,1.105,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-06\0
one_shot,SC-D-07,0,run-16f2f954a51731ac,True,clarification,,0,0,0,0,2,1,1,continuation_disabled,1.493,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-07\0
one_shot,SC-D-08,0,run-9a060cd47cd02f43,True,clarification,,0,0,0,0,2,1,1,continuation_disabled,1.395,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-08\0
one_shot,SC-D-09,0,run-715ca6ab1bf57c5a,True,clarification,,0,0,0,0,2,1,1,continuation_disabled,1.622,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-09\0
one_shot,SC-D-10,0,run-68de73b6e4dfbcb8,True,clarification,,0,0,0,0,2,1,1,continuation_disabled,1.051,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-10\0
one_shot,SC-D-11,0,run-18c58d2945d85a92,True,clarification,,0,0,0,0,3,1,1,continuation_disabled,1.566,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-11\0
one_shot,SC-D-12,0,run-abcdc1db780a2e48,True,clarification,,0,0,0,0,3,1,1,continuation_disabled,1.802,evaluation\outputs\_runs\exp-e748800507ef\one_shot\SC-D-12\0
no_memory,SC-A-01,0,run-9b7d99b9ccbf3e13,True,recommendation,False,5,30,28,0,1,1,1,recommendation,18.967,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-A-01\0
no_memory,SC-A-02,0,run-21053b501636fcf8,True,recommendation,False,5,29,22,0,1,1,1,recommendation,20.677,evaluation\outputs\_runs\exp-e748800507ef\no_memory\SC-A-02\0
