scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-E-02,no_memory,multiple_hard,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,27002.63266666667,1.0,1.0,6.0,-1.0
SC-E-03,full,multiple_hard,hard,none,high,0.7428223494387413,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6153846153846154,1.0,0.0,1.0,1.0,1.0,1.0,26583.29133333333,1.0,1.0,8.0,-1.0
SC-E-03,no_context,multiple_hard,hard,none,high,0.651615141503056,0.4000000000000001,1.2,0.4000000000000001,1.0,0.15,0.20000000000000004,1.0,0.5925925925925926,1.0,0.0,1.0,1.0,1.0,1.0,44666.82866666667,0.0,0.75,16.0,-1.0
SC-E-03,no_memory,multiple_hard,hard,none,high,0.7428223494387413,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7692307692307693,1.0,0.0,1.0,1.0,1.0,1.0,21318.529,1.0,1.0,10.0,-1.0
SC-E-04,full,multiple_hard,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,24805.202333333335,1.0,1.0,6.0,-1.0
SC-E-04,no_context,multiple_hard,hard,none,high,,,,0.0,1.8,0.15,0.20000000000000004,1.0,0.782608695652174,1.0,0.0,1.0,1.0,1.0,1.0,83240.65566666667,0.0,0.5,18.0,-1.0
SC-E-04,no_memory,multiple_hard,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,20058.124,1.0,1.0,6.0,-1.0
SC-E-05,full,multiple_hard,hard,none,high,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.5714285714285714,1.0,0.0,1.0,1.0,1.0,1.0,22826.406333333332,1.0,1.0,4.0,-1.0
SC-E-05,no_context,multiple_hard,hard,none,high,0.0,0.0,0.0,0.0,2.2,0.20000000000000004,0.4000000000000001,1.0,0.7307692307692308,1.0,0.0,1.0,1.0,1.0,1.0,90438.784,0.0,0.75,19.0,-1.0
SC-E-05,no_memory,multiple_hard,hard,none,high,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,1.0,1.0,16210.731333333335,1.0,1.0,4.666666666666667,-1.0
SC-F-01,full,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,25867.13266666667,1.0,1.0,23.0,-1.0
SC-F-01,no_context,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,53152.746999999996,1.0,1.0,23.0,-1.0
SC-F-01,no_memory,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,28518.766333333333,1.0,1.0,23.0,-1.0
SC-F-02,full,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.9710144927536232,1.0,0.0,1.0,1.0,1.0,1.0,78321.004,1.0,1.0,22.333333333333332,-1.0
SC-F-02,no_context,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,37638.806666666664,1.0,1.0,23.0,-1.0
SC-F-02,no_memory,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.927536231884058,1.0,0.0,1.0,1.0,1.0,1.0,55881.34733333333,1.0,1.0,21.333333333333332,-1.0
SC-F-03,full,soft_tradeoff,easy,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.8076416337285902,1.0,0.0,1.0,1.0,1.0,1.0,39698.30533333333,1.0,1.0,18.0,-1.0
SC-F-03,no_context,soft_tradeoff,easy,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.9090909090909092,1.0,0.0,1.0,1.0,1.0,1.0,33970.666333333334,1.0,1.0,20.0,-1.0
SC-F-03,no_memory,soft_tradeoff,easy,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,110256.81966666666,1.0,1.0,22.333333333333332,-1.0
SC-F-04,full,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.9,1.0,0.0,1.0,1.0,1.0,1.0,23234.498333333333,1.0,1.0,18.0,-1.0
SC-F-04,no_context,soft_tradeoff,medium,none,low,0.6608397947263838,0.8000000000000002,2.4,0.8000000000000002,0.20000000000000004,0.0,0.20000000000000004,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,13540.110333333332,0.0,0.75,20.0,-1.0
SC-F-04,no_memory,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,63368.30766666667,1.0,1.0,20.0,-1.0
