run_id,scenario_id,variant,repeat_index,scenario_type,difficulty,memory_dependency,context_dependency,response_type,success_run,returned_count,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,grounded_claim_count,evidence_resolution_rate,abstention_rate,unsupported_delivered_count,semantic_validator_present,handoff_success,decision_log_completeness,turn_count,total_latency_ms,task_success,partial_task_score,no_match_expected,no_match_returned,clarification_expected,clarification_target,clarification_asked,clarification_asked_slots,clarification_answered,clarification_repeated_slot,clarification_reason_code,response_turns,termination_reason,acceptable_slots,failure_injected,failure_detected,recoverable,recovered,clarification_efficiency
run-7a871803ef414e8f,SC-D-12,full,0,preference_change,hard,high,high,recommendation,True,1,0.4554594382818066,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.5,4,1.0,0.0,0,True,1.0,1.0,3,22713.865,1,1.0,False,False,False,,False,,False,False,,3,recommendation,,False,False,False,False,-3.0
run-fd98631555cfdef5,SC-E-01,full,0,multiple_hard,hard,none,high,recommendation,True,1,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.75,6,1.0,0.0,0,True,1.0,1.0,1,98014.817,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-298c22180b7df6be,SC-E-02,full,0,multiple_hard,hard,none,high,no_match,True,0,,,,,,,,,1.0,6,1.0,0.0,0,True,1.0,1.0,1,15717.66,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-2f5bd72b14f811ce,SC-E-03,full,0,multiple_hard,hard,none,high,recommendation,True,2,0.7428223494387413,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.5384615384615384,7,1.0,0.0,0,True,1.0,1.0,1,125073.973,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-6b2de3c510d42555,SC-E-04,full,0,multiple_hard,hard,none,high,no_match,True,0,,,,,,,,,1.0,6,1.0,0.0,0,True,1.0,1.0,1,22564.286,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-3a3a46e77e4fa886,SC-E-05,full,0,multiple_hard,hard,none,high,recommendation,True,1,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.7142857142857143,5,1.0,0.0,0,True,1.0,1.0,1,18107.204,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-83030e5246082989,SC-F-01,full,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,23,1.0,0.0,0,True,1.0,1.0,1,37600.713,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-63dd3e19d1ae1bfc,SC-F-02,full,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.782608695652174,18,1.0,0.0,0,True,1.0,1.0,1,49366.49,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-b35d50389b578f25,SC-F-03,full,0,soft_tradeoff,easy,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,22,1.0,0.0,0,True,1.0,1.0,1,34424.138,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-85676cfa7bfa3bd5,SC-F-04,full,0,soft_tradeoff,medium,none,low,recommendation,True,5,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,20,1.0,0.0,0,True,1.0,1.0,1,17328.35,1,1.0,False,False,False,,False,,False,False,,1,recommendation,,False,False,False,False,-1.0
run-e16756b552d54ab9,SC-G-01,full,0,ambiguous_role,hard,none,low,recommendation,True,5,0.3316685127789668,0.8,1.8,1.0,0.0,0.0,0.0,1.0,0.7931034482758621,23,1.0,0.0,0,True,1.0,1.0,1,35735.906,0,0.5,False,False,True,,False,,False,False,,1,recommendation,target_roles,False,False,False,False,-1000001.0
run-4268ecb77c92f8db,SC-G-02,full,0,ambiguous_role,hard,none,low,recommendation,True,5,0.6477522099264775,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.5625,9,1.0,0.0,0,True,1.0,1.0,1,9551.874,0,0.5,False,False,True,,False,,False,False,,1,recommendation,target_roles,False,False,False,False,-1000001.0
run-117157d4dc9c037b,SC-H-01,full,0,no_match,hard,none,high,no_match,True,0,,,,,,,,,1.0,4,1.0,0.0,0,True,1.0,1.0,1,26992.751,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-30993cac869a3a44,SC-H-02,full,0,no_match,hard,none,high,no_match,True,0,,,,,,,,,1.0,4,1.0,0.0,0,True,1.0,1.0,1,224647.427,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
run-4ea686e57ccdd6d2,SC-H-03,full,0,no_match,hard,none,high,no_match,True,0,,,,,,,,,1.0,4,1.0,0.0,0,True,1.0,1.0,1,22216.919,1,1.0,True,True,False,,False,,False,False,,1,no_match,,False,False,False,False,-1.0
