scenario_id,variant,scenario_type,difficulty,memory_dependency,context_dependency,ndcg_at_5,precision_at_5,mean_graded_relevance,hcsr,mean_violation_count,unknown_hard_rate,expired_rate,trace_completeness,grounding,evidence_resolution_rate,abstention_rate,handoff_success,decision_log_completeness,turn_count,response_turns,total_latency_ms,task_success,partial_task_score,grounded_claim_count,clarification_efficiency
SC-D-07,full,preference_change,medium,high,medium,0.5531464700081437,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.6666666666666666,1.0,0.0,1.0,1.0,2.0,2.0,11678.34,1.0,1.0,6.0,-2.0
SC-D-08,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.7857142857142857,1.0,0.0,1.0,1.0,2.0,2.0,57658.693,1.0,1.0,22.0,-2.0
SC-D-09,full,preference_change,hard,high,medium,0.8415580415114009,1.0,2.6,1.0,0.0,0.0,0.0,1.0,0.625,1.0,0.0,1.0,1.0,2.0,2.0,21827.663,1.0,1.0,15.0,-2.0
SC-D-10,full,preference_change,medium,high,medium,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.782608695652174,1.0,0.0,1.0,1.0,2.0,2.0,52322.078,1.0,1.0,18.0,-2.0
SC-D-11,full,preference_change,medium,high,medium,0.9250256699929476,1.0,2.8,1.0,0.0,0.0,0.0,1.0,0.4,1.0,0.0,1.0,1.0,3.0,3.0,47535.419,1.0,1.0,10.0,-3.0
SC-D-12,full,preference_change,hard,high,high,0.4554594382818066,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.5,1.0,0.0,1.0,1.0,3.0,3.0,22713.865,1.0,1.0,4.0,-3.0
SC-E-01,full,multiple_hard,hard,none,high,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,1.0,1.0,98014.817,1.0,1.0,6.0,-1.0
SC-E-02,full,multiple_hard,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,15717.66,1.0,1.0,6.0,-1.0
SC-E-03,full,multiple_hard,hard,none,high,0.7428223494387413,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.5384615384615384,1.0,0.0,1.0,1.0,1.0,1.0,125073.973,1.0,1.0,7.0,-1.0
SC-E-04,full,multiple_hard,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22564.286,1.0,1.0,6.0,-1.0
SC-E-05,full,multiple_hard,hard,none,high,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.7142857142857143,1.0,0.0,1.0,1.0,1.0,1.0,18107.204,1.0,1.0,5.0,-1.0
SC-F-01,full,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,37600.713,1.0,1.0,23.0,-1.0
SC-F-02,full,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.782608695652174,1.0,0.0,1.0,1.0,1.0,1.0,49366.49,1.0,1.0,18.0,-1.0
SC-F-03,full,soft_tradeoff,easy,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,34424.138,1.0,1.0,22.0,-1.0
SC-F-04,full,soft_tradeoff,medium,none,low,1.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,17328.35,1.0,1.0,20.0,-1.0
SC-G-01,full,ambiguous_role,hard,none,low,0.3316685127789668,0.8,1.8,1.0,0.0,0.0,0.0,1.0,0.7931034482758621,1.0,0.0,1.0,1.0,1.0,1.0,35735.906,0.0,0.5,23.0,-1000001.0
SC-G-02,full,ambiguous_role,hard,none,low,0.6477522099264775,1.0,2.4,1.0,0.0,0.0,0.0,1.0,0.5625,1.0,0.0,1.0,1.0,1.0,1.0,9551.874,0.0,0.5,9.0,-1000001.0
SC-H-01,full,no_match,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,26992.751,1.0,1.0,4.0,-1.0
SC-H-02,full,no_match,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,224647.427,1.0,1.0,4.0,-1.0
SC-H-03,full,no_match,hard,none,high,,,,,,,,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,22216.919,1.0,1.0,4.0,-1.0
